ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
2349,S V Defence Academy,NIIT,4,3,4,5
2350,Anjali Junior College,MAHENDRA EDUCATIONAL PVT LTD,4,1,2,6
2351,Anu Vocational Junior College,PANDITHA SUDHA COACHING CENTRE,3,3,1,6
2352,Sri Chaitanya Junior College ,MAHENDRA EDUCATIONAL PVT LTD,4,4,5,4
2353,Nri Academy,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,3,4,1
2354,Nri Academy,GURU SAI COACHING CENTER,4,1,1,1
2355,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,GURU SAI COACHING CENTER,4,2,1,3
2356,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,1,3,5,4
2357,Sri Padmavathi Women's Junior College ,SRI KRISHNAVENI COACHING CENTRE,2,4,3,3
2358,Narayana Junior College,MY CAREER POINT,2,3,3,5
2359,Akshara High School,EMINENT COACHING CENTRE,4,3,3,6
2360,Anjali Junior College,BHARATH DEFENCE COACHING CENTRE,2,1,1,4
2361,Academic Heights Public School - AHPS,BANKER'S ADDA,3,3,1,3
2362,S V Defence Academy,IGNITE ACADEMY,1,4,3,2
2363,Narayana Junior College,ANALYST IAS ACADEMY,3,2,1,3
2364,Akshara High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,4,1,5
2365,Anjali Junior College,SKILL WORLD COMPUTERS,1,3,2,1
2366,Arunodaya High School,ACE ENGINEERING ACADEMY,1,4,4,1
2367,Ashwamedha Junior College & Neet Medical Academy ,C L CAREER LAUNCHER,1,4,5,6
2368,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,C L CAREER LAUNCHER,3,1,2,6
2369,Ashwamedha Junior College & Neet Medical Academy ,SRI KRISHNAVENI COACHING CENTRE,1,3,4,5
2370,Ashwamedha Junior College & Neet Medical Academy ,C L CAREER LAUNCHER,3,2,5,6
2371,Akshara High School,SKILL WORLD COMPUTERS,4,3,3,2
2372,Sri Chaitanya Junior College ,BHARATH DEFENCE COACHING CENTRE,2,4,5,6
2373,Accord School,TALENTSPRINT PVT. LTD,1,2,3,1
2374,Ashwamedha Junior College & Neet Medical Academy ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,2,4,2
2375,Akshra English Medium School,VIGNESH COACHING CENTRE,4,3,5,2
2376,Anjali Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,4,2,1
2377,Alpha Gamma Sigma Junior College,VIVEK COACHING CENTRE,1,1,5,4
2378,Anjali Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,1,2,1
2379,Sri Chaitanya Junior College ,IGNITE ACADEMY,2,2,4,3
2380,Akshara High School,ACADEMY OF MATHEMATICS AND STATISTICS,4,3,1,1
2381,Accord School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,4,2,1
2382,Akshara High School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,2,3,2
2383,Ashwamedha Junior College & Neet Medical Academy ,SREEDHAR'S CCE,2,3,4,2
2384,Arunodaya High School,ACE ENGINEERING ACADEMY,3,2,4,4
2385,S V Defence Academy,ROLLER SPORTS COACHING CENTRE,2,3,2,1
2386,Accord School,IGNITE ACADEMY,4,2,5,6
2387,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,5,6
2388,Accord School,VIGNESH COACHING CENTRE,1,3,2,1
2389,Accord School,POORNASAI COACHING,2,1,3,3
2390,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,JB INSTITUTE FOR COMPETITVE EXAMS,4,2,5,3
2391,Akshara High School,VIGNESH COACHING CENTRE,2,3,2,6
2392,Anjali Junior College,GURU SAI COACHING CENTER,1,4,5,1
2393,Anjali Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,4,1,1,4
2394,SDHR Junior & Degree & Pg College ,BANKER'S ADDA,2,2,2,2
2395,Narayana Junior College,MAHENDRA EDUCATIONAL PVT LTD,1,1,2,2
2396,Nri Academy,TALENTSPRINT PVT. LTD,3,1,5,4
2397,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,VIVEK COACHING CENTRE,1,4,1,5
2398,Ashwamedha Junior College & Neet Medical Academy ,BHARATH DEFENCE COACHING CENTRE,1,3,4,4
2399,Accord School,NIIT,4,2,1,3
2400,Arunodaya High School,ACE ENGINEERING ACADEMY,1,4,3,4
2401,Sri Chaitanya Junior College ,SHINE IAS STUDY CIRCLE,3,4,1,1
2402,Arunodaya High School,TALENTSPRINT PVT. LTD,4,2,2,1
2403,SDHR Junior & Degree & Pg College ,BANKERS ADD,3,2,2,3
2404,S V Defence Academy,ACE ENGINEERING ACADEMY,4,2,1,4
2405,S V Defence Academy,PANDITHA SUDHA COACHING CENTRE,2,4,3,5
2406,Ashwamedha Junior College & Neet Medical Academy ,CAREER LAUNCHER,4,3,2,4
2407,Anu Vocational Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,4,3,1,1
2408,Sri Chaitanya Junior College ,PANDITHA SUDHA COACHING CENTRE,2,1,1,2
2409,Alpha Gamma Sigma Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,3,3,2
2410,SDHR Junior & Degree & Pg College ,C L CAREER LAUNCHER,3,1,3,2
2411,Sri Chaitanya Junior College ,IGNITE ACADEMY,3,4,5,3
2412,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,2,3,2,3
2413,Anjali Junior College,Sheker'S IAS Study Circle,2,1,4,5
2414,SDHR Junior & Degree & Pg College ,SRI VISWAM COACHING CENTRE,1,2,1,2
2415,SDHR Junior & Degree & Pg College ,BHARATH DEFENCE COACHING CENTRE,3,2,2,5
2416,Arunodaya High School,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,2,4,5
2417,Accord School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,2,1,1
2418,Academic Heights Public School - AHPS,VIVEK COACHING CENTRE,2,3,1,1
2419,Anu Vocational Junior College,SREEDHAR'S CCE,3,4,2,5
2420,Anjali Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,2,2
2421,Akshara High School,IGNITE ACADEMY,2,4,5,5
2422,Nri Academy,ACE ENGINEERING ACADEMY,1,4,3,6
2423,Sri Chaitanya Junior College ,ACE ENGINEERING ACADEMY,1,1,3,4
2424,Nri Academy,C L CAREER LAUNCHER,2,2,4,3
2425,Alpha Gamma Sigma Junior College,GURU SAI COACHING CENTER,1,3,1,1
2426,Alpha Gamma Sigma Junior College,SKILL WORLD COMPUTERS,3,1,1,6
2427,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MY CAREER POINT,1,1,1,2
2428,Anjali Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,2,3,1,2
2429,Accord School,ANALYST IAS ACADEMY,4,2,2,4
2430,Akshara High School,MY CAREER POINT,4,4,5,6
2431,Sri Padmavathi Women's Junior College ,SREEDHAR'S CCE,4,1,3,3
2432,S V Defence Academy,VIVEK COACHING CENTRE,3,1,2,5
2433,Narayana Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,2,3,1
2434,Arunodaya High School,POORNASAI COACHING,4,4,1,1
2435,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,IGNITE ACADEMY,4,3,2,1
2436,Akshra English Medium School,ACE ENGINEERING ACADEMY,3,1,2,6
2437,Sri Chaitanya Junior College ,NIIT,1,2,4,2
2438,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,1,1,1
2439,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,1,4,1,5
2440,Sri Padmavathi Women's Junior College ,ACE ENGINEERING ACADEMY,4,4,4,5
2441,Alpha Gamma Sigma Junior College,MAHENDRA EDUCATIONAL PVT LTD,2,2,5,3
2442,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,KARTHIK INSTITUTE OF POLICE COACHING,2,2,5,2
2443,Arunodaya High School,SAIMEDHA EDUCATIONAL INSTITUTE,1,3,2,2
2444,Narayana Junior College,SRI KRISHNAVENI COACHING CENTRE,1,3,2,5
2445,Arunodaya High School,BANKER'S ADDA,4,3,1,6
2446,Akshra English Medium School,ANALYST IAS ACADEMY,3,3,5,1
2447,Ashwamedha Junior College & Neet Medical Academy ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,1,2,3
2448,Nri Academy,BHARATH DEFENCE COACHING CENTRE,3,4,1,5
2449,Accord School,CAREER LAUNCHER,1,3,1,1
2450,Arunodaya High School,JB INSTITUTE FOR COMPETITVE EXAMS,2,2,2,6
2451,Accord School,Sheker'S IAS Study Circle,4,3,2,3
2452,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,4,3,1,2
2453,Akshara High School,PANDITHA SUDHA COACHING CENTRE,2,2,5,5
2454,Accord School,Sheker'S IAS Study Circle,2,1,3,5
2455,Anjali Junior College,CAREER LAUNCHER,3,1,2,3
2456,SDHR Junior & Degree & Pg College ,BANKER'S ADDA,2,4,4,3
2457,S V Defence Academy,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,1,4,5
2458,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,3,3,1,5
2459,Narayana Junior College,BANKERS ADD,1,3,1,4
2460,S V Defence Academy,Sheker'S IAS Study Circle,2,2,5,2
2461,Anu Vocational Junior College,KSRM COACHING CENTER,4,3,1,4
2462,Anu Vocational Junior College,SHINE IAS STUDY CIRCLE,3,3,1,4
2463,Nri Academy,KSRM COACHING CENTER,2,3,3,1
2464,Anu Vocational Junior College,SRI KRISHNAVENI COACHING CENTRE,4,3,3,3
2465,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI VISWAM COACHING CENTRE,1,3,2,6
2466,Sri Chaitanya Junior College ,SRI KRISHNAVENI COACHING CENTRE,4,4,1,6
2467,Arunodaya High School,SKILL WORLD COMPUTERS,2,2,3,6
2468,Narayana Junior College,POORNASAI COACHING,1,1,1,5
2469,Arunodaya High School,DAMS SKY,3,2,2,5
2470,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ANALYST IAS ACADEMY,1,3,4,5
2471,Arunodaya High School,SRI KRISHNAVENI COACHING CENTRE,4,3,4,6
2472,Arunodaya High School,ACADEMY OF MATHEMATICS AND STATISTICS,4,3,4,6
2473,Accord School,Sheker'S IAS Study Circle,1,1,2,3
2474,Sri Chaitanya Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,1,5,5
2475,Alpha Gamma Sigma Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,4,5,1
2476,Akshara High School,VIGNESH COACHING CENTRE,3,4,2,1
2477,S V Defence Academy,ANALYST IAS ACADEMY,3,1,1,3
2478,Anu Vocational Junior College,VIGNESH COACHING CENTRE,1,3,2,1
2479,Academic Heights Public School - AHPS,MAHENDRA EDUCATIONAL PVT LTD,1,4,4,2
2480,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,C L CAREER LAUNCHER,4,3,3,1
2481,Akshara High School,VIGNESH COACHING CENTRE,2,3,4,5
2482,Arunodaya High School,SRI VISWAM COACHING CENTRE,3,2,1,1
2483,Anjali Junior College,CAREER LAUNCHER,1,2,1,6
2484,Sri Padmavathi Women's Junior College ,KSRM COACHING CENTER,2,1,3,5
2485,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,1,4,3,5
2486,Nri Academy,GURU SAI COACHING CENTER,3,2,4,1
2487,Arunodaya High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,4,5,1
2488,Alpha Gamma Sigma Junior College,NIIT,4,4,4,6
2489,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,PANDITHA SUDHA COACHING CENTRE,4,2,1,2
2490,Alpha Gamma Sigma Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,3,3,1,2
2491,S V Defence Academy,NIIT,2,3,5,1
2492,Academic Heights Public School - AHPS,SREEDHAR'S CCE,4,3,1,2
2493,Narayana Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,4,3,6
2494,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,4,1,3,3
2495,Sri Padmavathi Women's Junior College ,Sheker'S IAS Study Circle,3,4,3,5
2496,Sri Chaitanya Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,2,5,5
2497,Accord School,EMINENT COACHING CENTRE,2,3,1,1
2498,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,C L CAREER LAUNCHER,2,4,5,4
2499,Anjali Junior College,SRI KRISHNAVENI COACHING CENTRE,3,4,4,6
2500,Ashwamedha Junior College & Neet Medical Academy ,SAIMEDHA EDUCATIONAL INSTITUTE,1,1,1,2
2501,Sri Padmavathi Women's Junior College ,SAIMEDHA GATE COACHING CENTER,1,1,3,4
2502,SDHR Junior & Degree & Pg College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,2,5,4
2503,Arunodaya High School,BANKER'S ADDA,3,4,2,4
2504,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,1,4,2,2
2505,Akshra English Medium School,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,5,1
2506,Ashwamedha Junior College & Neet Medical Academy ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,1,2,6
2507,Alpha Gamma Sigma Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,4,5,1
2508,SDHR Junior & Degree & Pg College ,CAREER LAUNCHER,2,4,5,2
2509,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,1,4,3,2
2510,Akshara High School,TALENTSPRINT PVT. LTD,3,2,2,5
2511,Sri Chaitanya Junior College ,ACE ENGINEERING ACADEMY,1,3,3,3
2512,Alpha Gamma Sigma Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,4,2
2513,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SHINE IAS STUDY CIRCLE,2,1,4,5
2514,Academic Heights Public School - AHPS,SRI KRISHNAVENI COACHING CENTRE,1,2,2,2
2515,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,4,2,3,6
2516,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,3,3,2,6
2517,Academic Heights Public School - AHPS,MY CAREER POINT,3,3,2,2
2518,Academic Heights Public School - AHPS,NIIT,3,1,3,2
2519,Arunodaya High School,BANKERS ADD,4,1,4,2
2520,Accord School,SKILL WORLD COMPUTERS,3,4,2,4
2521,Alpha Gamma Sigma Junior College,KARTHIK INSTITUTE OF POLICE COACHING,2,3,3,1
2522,Sri Padmavathi Women's Junior College ,KSRM COACHING CENTER,4,2,3,4
2523,Akshra English Medium School,VIGNESH COACHING CENTRE,1,2,5,4
2524,Arunodaya High School,MY CAREER POINT,2,1,4,6
2525,S V Defence Academy,SRI KRISHNAVENI COACHING CENTRE,2,3,2,3
2526,Akshara High School,BANKERS ADD,4,3,2,4
2527,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,4,4,1,2
2528,Anjali Junior College,SHINE IAS STUDY CIRCLE,4,4,2,2
2529,Akshra English Medium School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,4,3
2530,S V Defence Academy,KSRM COACHING CENTER,1,1,5,2
2531,Anu Vocational Junior College,BHARATH DEFENCE COACHING CENTRE,4,4,5,6
2532,Sri Chaitanya Junior College ,SRI KRISHNAVENI COACHING CENTRE,1,1,3,4
2533,Akshra English Medium School,MY CAREER POINT,2,1,5,3
2534,Alpha Gamma Sigma Junior College,DAMS SKY,4,2,5,3
2535,Accord School,BHARATH DEFENCE COACHING CENTRE,4,3,2,5
2536,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ANALYST IAS ACADEMY,3,1,4,6
2537,Alpha Gamma Sigma Junior College,SHINE IAS STUDY CIRCLE,1,2,1,1
2538,SDHR Junior & Degree & Pg College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,1,4,2
2539,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,KARTHIK INSTITUTE OF POLICE COACHING,4,3,2,4
2540,Sri Padmavathi Women's Junior College ,SAIMEDHA GATE COACHING CENTER,1,3,3,5
2541,Academic Heights Public School - AHPS,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,4,3,6
2542,Arunodaya High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,2,1,2
2543,Anu Vocational Junior College,ACE ENGINEERING ACADEMY,2,2,2,5
2544,Ashwamedha Junior College & Neet Medical Academy ,VIVEK COACHING CENTRE,1,2,3,5
2545,Sri Padmavathi Women's Junior College ,SAIMEDHA GATE COACHING CENTER,4,1,1,3
2546,Arunodaya High School,MY CAREER POINT,3,4,5,3
2547,Anjali Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,4,3,4
2548,Academic Heights Public School - AHPS,VIGNESH COACHING CENTRE,2,1,2,2
2549,Ashwamedha Junior College & Neet Medical Academy ,BANKERS ADD,4,4,1,3
2550,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI VISWAM COACHING CENTRE,4,1,4,2
2551,Arunodaya High School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,3,3,3
2552,Arunodaya High School,ANALYST IAS ACADEMY,3,1,4,4
2553,Academic Heights Public School - AHPS,VIVEK COACHING CENTRE,1,4,3,4
2554,Accord School,MY CAREER POINT,2,2,2,1
2555,S V Defence Academy,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,1,3,5
2556,SDHR Junior & Degree & Pg College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,1,4,2
2557,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,1,4,5
2558,Alpha Gamma Sigma Junior College,SREEDHAR'S CCE,4,4,3,2
2559,Sri Padmavathi Women's Junior College ,SREEDHAR'S CCE,4,3,2,1
2560,Akshara High School,GURU SAI COACHING CENTER,3,2,3,3
2561,Akshra English Medium School,KARTHIK INSTITUTE OF POLICE COACHING,2,1,4,3
2562,Anjali Junior College,Sheker'S IAS Study Circle,3,4,3,5
2563,SDHR Junior & Degree & Pg College ,BHARATH DEFENCE COACHING CENTRE,1,3,2,5
2564,Anu Vocational Junior College,ROLLER SPORTS COACHING CENTRE,3,3,4,5
2565,Ashwamedha Junior College & Neet Medical Academy ,ACADEMY OF MATHEMATICS AND STATISTICS,3,3,1,1
2566,S V Defence Academy,PANDITHA SUDHA COACHING CENTRE,1,1,3,6
2567,S V Defence Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,3,4,2
2568,Anjali Junior College,C L CAREER LAUNCHER,1,3,2,1
2569,Nri Academy,SREEDHAR'S CCE,2,3,2,3
2570,S V Defence Academy,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,4,1,5
2571,Ashwamedha Junior College & Neet Medical Academy ,VIVEK COACHING CENTRE,4,2,3,5
2572,Ashwamedha Junior College & Neet Medical Academy ,VIGNESH COACHING CENTRE,2,3,5,5
2573,Sri Chaitanya Junior College ,MAHENDRA EDUCATIONAL PVT LTD,3,3,4,5
2574,Akshra English Medium School,GURU SAI COACHING CENTER,1,1,5,5
2575,Accord School,SKILL WORLD COMPUTERS,3,1,1,2
2576,Arunodaya High School,POORNASAI COACHING,4,4,3,1
2577,S V Defence Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,4,1,3
2578,Anjali Junior College,ANALYST IAS ACADEMY,1,2,1,4
2579,Akshara High School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,4,2,5
2580,Accord School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,2,2,3
2581,Anu Vocational Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,2,1,2,2
2582,Academic Heights Public School - AHPS,CAREER LAUNCHER,2,3,1,5
2583,Akshara High School,ROLLER SPORTS COACHING CENTRE,1,2,3,1
2584,Anjali Junior College,SAIMEDHA GATE COACHING CENTER,2,1,5,1
2585,Ashwamedha Junior College & Neet Medical Academy ,GURU SAI COACHING CENTER,2,3,3,2
2586,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,4,2,2
2587,S V Defence Academy,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,2,3
2588,Ashwamedha Junior College & Neet Medical Academy ,BHARATH DEFENCE COACHING CENTRE,4,3,3,2
2589,Anjali Junior College,ACE ENGINEERING ACADEMY,2,2,1,5
2590,Ashwamedha Junior College & Neet Medical Academy ,EMINENT COACHING CENTRE,4,1,1,5
2591,Anjali Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,2,3,2,6
2592,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),1,2,1,6
2593,Alpha Gamma Sigma Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,4,1,5
2594,Akshra English Medium School,C L CAREER LAUNCHER,4,2,5,2
2595,Sri Chaitanya Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,4,1,1
2596,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,VIVEK COACHING CENTRE,2,4,4,6
2597,Akshra English Medium School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,2,1,3
2598,Sri Chaitanya Junior College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,2,4,1
2599,Sri Chaitanya Junior College ,CAREER LAUNCHER,3,3,1,3
2600,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ACE ENGINEERING ACADEMY,1,3,5,5
2601,Alpha Gamma Sigma Junior College,DAMS SKY,1,1,2,1
2602,Akshara High School,SKILL WORLD COMPUTERS,3,4,4,1
2603,Anjali Junior College,BANKER'S ADDA,3,3,4,2
2604,Sri Chaitanya Junior College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,4,6
2605,Sri Padmavathi Women's Junior College ,BANKERS ADD,1,3,5,3
2606,Arunodaya High School,ACE ENGINEERING ACADEMY,2,4,4,3
2607,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,EMINENT COACHING CENTRE,3,1,3,2
2608,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,2,1,3,6
2609,Sri Padmavathi Women's Junior College ,SAIMEDHA GATE COACHING CENTER,2,2,1,2
2610,Arunodaya High School,SKILL WORLD COMPUTERS,3,2,4,5
2611,Akshara High School,DAMS SKY,3,4,4,1
2612,Academic Heights Public School - AHPS,BANKER'S ADDA,1,2,1,3
2613,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,3,2,2
2614,Academic Heights Public School - AHPS,VIGNESH COACHING CENTRE,3,4,4,6
2615,Akshra English Medium School,SAIMEDHA GATE COACHING CENTER,3,3,3,3
2616,Sri Chaitanya Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,1,1,5
2617,Anu Vocational Junior College,BANKERS ADD,4,1,2,3
2618,Arunodaya High School,JB INSTITUTE FOR COMPETITVE EXAMS,1,4,2,2
2619,Nri Academy,ACADEMY OF MATHEMATICS AND STATISTICS,3,4,3,4
2620,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,C L CAREER LAUNCHER,2,1,4,6
2621,Accord School,SKILL WORLD COMPUTERS,4,1,3,3
2622,Sri Padmavathi Women's Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,5,5
2623,Sri Chaitanya Junior College ,GURU SAI COACHING CENTER,4,1,5,4
2624,Ashwamedha Junior College & Neet Medical Academy ,SAIMEDHA GATE COACHING CENTER,3,2,3,2
2625,Akshara High School,ROLLER SPORTS COACHING CENTRE,3,3,5,4
2626,Arunodaya High School,SRI KRISHNAVENI COACHING CENTRE,2,2,4,2
2627,SDHR Junior & Degree & Pg College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,4,2,6
2628,Nri Academy,NIIT,2,1,1,1
2629,SDHR Junior & Degree & Pg College ,SAIMEDHA EDUCATIONAL INSTITUTE,1,2,2,6
2630,Akshara High School,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,4,3
2631,Ashwamedha Junior College & Neet Medical Academy ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,4,4,2
2632,Ashwamedha Junior College & Neet Medical Academy ,JB INSTITUTE FOR COMPETITVE EXAMS,2,4,1,1
2633,Alpha Gamma Sigma Junior College,TALENTSPRINT PVT. LTD,3,1,2,6
2634,Arunodaya High School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,2,3,3
2635,SDHR Junior & Degree & Pg College ,VIGNESH COACHING CENTRE,4,2,3,3
2636,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,PANDITHA SUDHA COACHING CENTRE,2,4,5,5
2637,Narayana Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,4,2,4,4
2638,Alpha Gamma Sigma Junior College,SRI KRISHNAVENI COACHING CENTRE,2,1,1,1
2639,Anu Vocational Junior College,MY CAREER POINT,1,2,2,2
2640,Anu Vocational Junior College,ROLLER SPORTS COACHING CENTRE,2,3,1,5
2641,Anjali Junior College,ROLLER SPORTS COACHING CENTRE,2,2,1,1
2642,Akshara High School,Sheker'S IAS Study Circle,3,1,1,5
2643,Sri Chaitanya Junior College ,MY CAREER POINT,3,2,3,2
2644,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,3,1,5,5
2645,Akshara High School,NIIT,1,4,5,5
2646,Anu Vocational Junior College,BHARATH DEFENCE COACHING CENTRE,3,4,2,2
2647,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,GURU SAI COACHING CENTER,2,4,2,6
2648,Akshra English Medium School,GURU SAI COACHING CENTER,1,3,1,1
2649,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,3,2,6
2650,Narayana Junior College,CAREER LAUNCHER,4,4,5,2
2651,Accord School,BANKERS ADD,3,3,4,4
2652,Ashwamedha Junior College & Neet Medical Academy ,KARTHIK INSTITUTE OF POLICE COACHING,4,2,2,1
2653,Anu Vocational Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,3,3,1
2654,Ashwamedha Junior College & Neet Medical Academy ,JB INSTITUTE FOR COMPETITVE EXAMS,1,2,3,6
2655,Nri Academy,SRI VISWAM COACHING CENTRE,4,1,2,4
2656,Alpha Gamma Sigma Junior College,CAREER LAUNCHER,4,1,3,5
2657,Narayana Junior College,SREEDHAR'S CCE,4,3,2,5
2658,Ashwamedha Junior College & Neet Medical Academy ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,3,2,6
2659,Sri Chaitanya Junior College ,BANKERS ADD,2,1,1,6
